name_a,type_a,name_b,type_b,similarity,decision,confidence,reason
開放連接埠,feature,tcp連接埠,feature,0.8438,same,0.8,兩節點名稱語意相關，tcp連接埠是一種開放連接埠
交點錯誤率,feature,交叉錯誤率,feature,0.8433,same,0.9,交點錯誤率和交叉錯誤率是同義詞
用戶終端安全,feature,操作安全,feature,0.843,different,0.8,用戶終端安全和操作安全雖相關但指稱不同概念
用戶終端安全,feature,實體安全,feature,0.8408,different,0.8,用戶終端安全和實體安全是相關但不同的安全概念
靜態特徵,feature,動態特徵,feature,0.8453,different,0.9,靜態特徵和動態特徵是兩個不同的概念
ip 層,feature,網際網路層,feature,0.8476,same,0.9,ip 層和網際網路層是同義詞
tcp 協定,feature,ipsec協定,feature,0.84,different,0.8,tcp 協定和 ipsec 協定是兩個不同的網絡協定
通訊協定,feature,協定,feature,0.8389,same,0.9,通訊協定和協定在此語境下是同義詞
ssl 協定,feature,tls 協議,feature,0.8373,same,0.9,ssl 協定和 tls 協議是同義詞，tls 是 ssl 的後繼版本
連接埠號碼,feature,連接埠,feature,0.837,same,0.9,連接埠號碼和連接埠是相關的概念，且連接埠號碼可以被視為連接埠的特性
網路協定,feature,協定,feature,0.8405,same,0.8,節點 A 和節點 B 的名稱語意相近，網路協定是一種協定的具體類型
環境安全,feature,安全性,feature,0.8362,same,0.8,環境安全和安全性是同義詞
視網膜,feature,虹膜,feature,0.8509,different,0.9,視網膜和虹膜是眼睛的不同部分，具有不同的功能和特性
tcp/ip協定組,feature,ipsec協定,feature,0.8355,different,0.8,tcp/ip協定組和ipsec協定是兩個不同的網絡協定
ssl 協定,feature,ipsec協定,feature,0.8407,different,0.9,ssl 協定和 ipsec 協定是兩種不同的網路安全協定
ip 位址協定,feature,ipsec協定,feature,0.8356,different,0.8,IP 位址協定和 IPsec 協定是兩個相關但不同的網路協定概念
分析層,feature,分析,feature,0.8363,same,0.8,分析層和分析是相關的概念，且分析層可以被視為分析的具體化形式
操作安全,feature,安全設定,feature,0.8348,different,0.8,操作安全和安全設定相關但指稱不同概念
應用程式安全,feature,網路裝置安全,feature,0.8348,different,0.8,節點 A 和節點 B 分別指稱應用程式和網路裝置的安全特性，雖相關但指稱不同概念
ssl/tls 交握協定,feature,ipsec協定,feature,0.8351,different,0.8,節點 A 和節點 B 分別描述不同的網路安全協定
使用者決定系統保護,feature,使用者決定資料保護措施,feature,0.8325,same,0.8,節點 A 和節點 B 的名稱語意相近，均涉及使用者對系統或資料的保護決定
安全性,feature,安全設定,feature,0.8348,different,0.8,安全性和安全設定相關但指稱不同概念
tcp 協定,feature,tls 協議,feature,0.8459,different,0.8,tcp 協定和 tls 協議是兩個相關但不同的網路協定
安全設定,feature,安全模式,feature,0.8321,different,0.8,安全設定和安全模式雖相關但指稱不同概念
最快恢復時間,feature,故障復原時間,feature,0.8319,same,0.9,兩節點名稱語意等價，指稱系統或工具恢復故障的時間
網絡技術,feature,網際網路層,feature,0.8393,different,0.8,網絡技術和網際網路層雖相關但指稱不同概念
tls/ssl,feature,tls 協議,feature,0.8329,same,0.9,節點 A 和節點 B 的名稱語意相近，tls/ssl 和 tls 協議都指涉加密通訊協議
ssl安全交易協定,feature,ipsec協定,feature,0.8306,different,0.8,ssl安全交易協定和ipsec協定是兩種不同的網絡安全協定
金鑰封存,feature,金鑰保護機制,feature,0.8301,same,0.8,金鑰封存和金鑰保護機制在功能特性上語意相近
特徵碼,feature,流量特徵碼,feature,0.8305,same,0.8,節點 A 和節點 B 的名稱語意相近，均與特徵碼相關
tcp 協定,feature,udp 協定,feature,0.8299,different,0.9,tcp 和 udp 是兩種不同的網路協定
ip 位址協定,feature,tcp/ip協定組,feature,0.8313,different,0.8,雖然兩節點都與網路協定相關，但節點 A 指的是 IP 位址協定，節點 B 指的是 TCP/IP 協定組，兩者概念不同
用戶終端安全,feature,安全性,feature,0.8315,different,0.8,節點 A 和節點 B 雖然都與安全相關，但用戶終端安全是指特定於用戶終端的安全功能特性，而安全性是一個更廣泛的概念
操作安全,feature,資產安全,feature,0.8283,different,0.8,操作安全和資產安全是相關但不同的安全概念
通訊協定,feature,ipsec協定,feature,0.8345,different,0.8,節點 A 和節點 B 雖然都與通訊協定相關，但節點 B 指的是特定的 IPsec 協定，而節點 A 的範圍更廣泛
ipv4,feature,ipv6,feature,0.8271,different,0.9,ipv4 和 ipv6 是兩種不同的網際網路協定版本
加密,feature,tls,feature,0.8293,different,0.8,加密是通用概念，TLS是特定加密協定
應用程式安全,feature,應用程式域安全 (application domain security),feature,0.8271,same,0.8,節點名稱語意相近，應用程式安全和應用程式域安全都指涉系統或工具的安全特性
通訊協定,feature,dhcp 協定,feature,0.8257,different,0.8,dhcp 協定是特定通訊協定的實例
核心網路安全,feature,網路裝置安全,feature,0.8301,different,0.8,核心網路安全和網路裝置安全是相關但不同的概念
金鑰保護機制,feature,實體保護機制,feature,0.825,different,0.8,金鑰保護機制和實體保護機制雖相關但指稱不同概念
ip協定,feature,tls 協定,feature,0.8289,different,0.9,ip協定和tls協定是兩種不同的網絡協定
私人ipv4位址,feature,ip 位址,feature,0.8269,different,0.8,節點 A 指私人 ipv4 位址，節點 B 指一般 ip 位址，兩者概念不同
dhcp 協定,feature,協定,feature,0.8235,different,0.8,dhcp 協定是一種特定的協定，節點 B 的協定過於廣泛，兩者指稱不同概念
感應天線,feature,感應器,feature,0.8224,different,0.8,感應天線和感應器雖相關但指稱不同概念
ip 層,feature,傳輸層,feature,0.8221,same,0.8,ip 層和傳輸層在網路協議中是同義詞
堆疊 (stack),feature,堆積 (heap),feature,0.8224,different,0.8,堆疊和堆積在計算機科學中指不同資料結構
資料鏈結層,feature,連結層,feature,0.821,same,0.8,資料鏈結層和連結層為同義詞
防火措施,feature,防火材料,feature,0.8244,different,0.8,防火措施和防火材料雖相關但指稱不同概念
ssl安全交易協定,feature,tls 協定,feature,0.8253,same,0.9,SSL 和 TLS 是安全交易協定的不同名稱，TLS 是 SSL 的後繼版本
ip 層,feature,實體層,feature,0.8212,different,0.8,ip 層和實體層在網路架構中指稱不同層級的概念
傳輸協定,feature,協定,feature,0.8208,same,0.8,傳輸協定和協定在此語境下是同義詞
核心網路安全,feature,用戶終端安全,feature,0.8201,different,0.8,核心網路安全和用戶終端安全是兩個相關但不同的安全概念
應用程式安全,feature,用戶終端安全,feature,0.8206,different,0.8,節點 A 和節點 B 雖然都與安全相關，但指稱不同概念
ip協定,feature,傳輸協定,feature,0.8304,different,0.8,ip協定和傳輸協定雖相關但指稱不同概念
dhcp 協定,feature,udp 協定,feature,0.8193,different,1.0,dhcp 協定和 udp 協定是兩個不同的網路協定
資產安全,feature,交易安全,feature,0.8189,different,0.8,資產安全和交易安全是相關但不同的安全概念
實體控制,feature,技術控制,feature,0.8185,same,0.8,實體控制和技術控制在特定語境下可能被視為同義詞
網路協定,feature,dhcp 協定,feature,0.8185,different,0.8,dhcp 協定是網路協定的子類
傳輸協定,feature,tls 協定,feature,0.8188,different,0.8,節點 A 是一般的傳輸協定，節點 B 是特定的 TLS 協定
網路協定,feature,傳輸協定,feature,0.8198,same,0.8,網路協定和傳輸協定在此語境下是同義詞
udp/tcp 協定,feature,dhcp 協定,feature,0.8177,different,0.9,udp/tcp 和 dhcp 是不同的網路協定
金鑰封存,feature,加密,feature,0.8183,different,0.8,金鑰封存和加密是相關但不同的安全功能特性
ike,feature,exe,feature,0.8177,different,0.8,ike 和 exe 是兩個不同的系統或工具功能特性
網路分享,feature,共享資源,feature,0.8176,same,0.8,網路分享和共享資源的名稱語意相近，均指涉及資源的共用
密碼模組進出埠與存取介面,feature,密碼模組介面,feature,0.8193,same,0.8,節點名稱語意相近，均指涉密碼模組的介面
ip 層,feature,資料庫層,feature,0.8173,different,0.9,ip 層和資料庫層是系統中不同的功能特性
ip 位址協定,feature,dhcp 協定,feature,0.8168,different,0.8,ip 位址協定和 dhcp 協定是相關但不同的網路協定概念
權限設定,feature,使用者權限,feature,0.8198,same,0.9,節點 A 和節點 B 的名稱語意相近，均指涉系統中與使用者權限相關的設定
icmp echo request,feature,icmp,feature,0.8172,different,0.8,icmp echo request 是一種特定的網路封包，icmp 判斷規則是用於處理icmp封包的規則，兩者相關但指稱不同概念
網際網路層,feature,網路存取層,feature,0.816,same,0.8,網際網路層和網路存取層在此語境下為同義詞
關聯表綱要,feature,關聯表實例,feature,0.8168,different,0.8,節點 A 和節點 B 雖然都與關聯表有關，但一個是綱要、另一個是實例，指稱不同概念
操作安全,feature,網路裝置安全,feature,0.8168,different,0.8,操作安全和網路裝置安全是相關但不同的安全概念
安全性,feature,交易安全,feature,0.8158,different,0.8,節點 A 和節點 B 雖然都與安全性相關，但指稱的概念不同，節點 A 的安全性更為廣泛，節點 B 的交易安全則是安全性的特定子類
http,feature,http cookie,feature,0.8135,different,0.8,節點 A 和節點 B 雖然都與網路相關，但 'http' 指的是一種通訊協定，而 'http cookie' 指的是基於此協定的特定功能
users,feature,使用者權限,feature,0.8131,different,0.8,users 和 使用者權限 雖相關但指稱不同概念
通訊協定,feature,安全性較低之通訊協定,feature,0.8128,different,0.8,節點 A 和節點 B 雖然都與通訊協定相關，但節點 B 強調安全性較低，指稱不同的概念
用戶終端安全,feature,安全設定,feature,0.8157,different,0.8,用戶終端安全和安全設定相關但指稱不同概念
網路存取安全,feature,用戶終端安全,feature,0.8125,different,0.8,兩節點名稱語意不同，網路存取安全和用戶終端安全是相關但不同的安全概念
網絡技術,feature,wifi 通訊技術,feature,0.8111,different,0.8,節點 A 和節點 B 雖然都與網絡技術相關，但指稱不同概念，wifi 通訊技術是網絡技術的一種具體實現
port 137/139/445,feature,port 137,feature,0.811,different,0.8,節點 A 包含多個 port 號碼，節點 B 只包含一個 port 號碼
加密,feature,tls/ssl,feature,0.8117,different,0.8,加密是通用功能特性，TLS/SSL是具體的加密協定
ip,feature,icmp,feature,0.8134,different,0.8,ip 和 icmp 是相關但不同的網路協議概念
ipv4,feature,ip 架構,feature,0.8108,different,0.8,ipv4 和 ip 架構相關但指稱不同概念
實體控制,feature,控制項,feature,0.8172,different,0.8,實體控制和控制項雖相關但指稱不同概念
交叉錯誤率 (cer),feature,交叉錯誤率,feature,0.8102,same,1.0,兩節點名稱語意等價
應用程式安全,feature,操作安全,feature,0.815,different,0.8,應用程式安全和操作安全是相關但不同的安全概念
osi 第 7 層,feature,l7 layer,feature,0.8091,same,1.0,OSI 第 7 層與 L7 Layer 是同義詞
cer,feature,ike,feature,0.8091,different,0.8,cer 和 ike 是兩種不同的網路安全協定
操作安全,feature,安全工程,feature,0.8245,different,0.8,操作安全和安全工程雖相關但指稱不同概念
傳輸協定,feature,dhcp 協定,feature,0.8078,different,0.8,dhcp 協定是傳輸協定的特定實現
操作安全,feature,交易安全,feature,0.8085,different,0.8,操作安全和交易安全是相關但不同的安全特性
ip,feature,ip 網路,feature,0.8078,different,0.8,節點 A 指的是 IP 位址，節點 B 指的是 IP 網路，兩者相關但指稱不同概念
實體控制,feature,人員控制,feature,0.8076,different,0.8,實體控制和人員控制是兩個不同的控制類型
ip 位址協定,feature,網路協定,feature,0.8075,different,0.8,ip 位址協定和網路協定雖相關但指稱不同概念
http,feature,web service,feature,0.8074,different,0.8,http 和 web service 雖相關但指稱不同概念
tcp/ip協定組,feature,通訊協定,feature,0.8069,different,0.8,tcp/ip協定組是一種特定的通訊協定，而通訊協定是一個更廣泛的概念
ssl安全交易協定,feature,tls 協議,feature,0.811,same,0.9,SSL 和 TLS 都是安全交易協定的名稱，TLS 是 SSL 的後繼版本
實體安全,feature,系統及安全性,feature,0.8076,different,0.8,節點 A 和節點 B 的名稱雖然都與安全相關，但指稱的概念不同，節點 A 著重於實體安全，節點 B 則涵蓋系統及安全性
實體安全,feature,安全工程,feature,0.809,different,0.8,實體安全和安全工程是相關但不同的概念
網絡技術,feature,加密技術,feature,0.8066,different,0.8,網絡技術和加密技術是相關但不同的概念
網路協定,feature,tcp/ip協定組,feature,0.8064,different,0.8,節點 A 指網路協定的一般概念，節點 B 指特定的 TCP/IP 協定組
權限設定,feature,安全設定,feature,0.8065,different,0.8,雖然權限設定和安全設定相關，但指稱不同概念
ip 位址協定,feature,協定,feature,0.8069,different,0.8,節點 A 指的是 ip 位址協定，節點 B 指的是一般的協定，兩者雖相關但指稱不同概念
協定,feature,ssl 協定,feature,0.806,same,0.8,節點 A 和節點 B 都與協定相關，節點 B 的 ssl 協定是特定的一種協定，可能是節點 A 的具體實現
ipv4,feature,ip 位址,feature,0.8107,same,0.9,ipv4 是 ip 位址的一種特定形式
實體安全,feature,實體保護機制,feature,0.8053,same,0.8,實體安全和實體保護機制在語意上相近，可能是同義詞或一個是另一個的標準化形式
識別網路是否安全,feature,網路裝置安全,feature,0.8107,different,0.8,兩節點雖相關但指稱不同概念，識別網路是否安全是功能特性，網路裝置安全是具體的安全類型
動態特徵,feature,屬性,feature,0.8045,different,0.8,動態特徵和屬性雖相關但指稱不同概念
程式化保護功能,feature,實體保護機制,feature,0.805,same,0.8,程式化保護功能和實體保護機制在語意上相近，可能指稱系統或工具的保護功能特性
埠號,feature,服務埠,feature,0.8055,same,0.9,節點 A 和節點 B 的名稱語意等價，都是指系統或工具的埠號
動態特徵,feature,生理特徵,feature,0.8036,different,0.8,動態特徵和生理特徵雖相關但指稱不同概念
用戶終端安全,feature,資產安全,feature,0.8048,different,0.8,用戶終端安全和資產安全是相關但不同的安全概念
authorization,feature,oauth,feature,0.8033,different,0.8,authorization 和 oauth 是相關但不同的概念，authorization 是一般的授權概念，oauth 是一種特定的授權標準
資產安全,feature,建築物安全,feature,0.8028,different,0.8,資產安全和建築物安全雖相關但指稱不同概念
應用程式安全,feature,實體安全,feature,0.8034,different,0.8,應用程式安全和實體安全是兩個相關但不同的安全概念
網路存取安全,feature,核心網路安全,feature,0.8025,different,0.8,節點名稱雖相關但指稱不同概念
堆疊,feature,堆積 (heap),feature,0.8038,same,0.9,堆疊和堆積都是描述資料結構的術語，兩者在計算機科學中指稱相同的概念
開放連接埠,feature,通訊埠,feature,0.8012,same,0.9,節點 A 和節點 B 的名稱語意等價，都是指系統或工具的連接埠
網絡技術,feature,無線通訊技術,feature,0.803,different,0.8,網絡技術和無線通訊技術是相關但不同的概念
users,feature,使用者介面,feature,0.8003,different,0.8,users 指的是系統的使用者，而使用者介面是系統的一個功能特性，兩者相關但指稱不同概念
感知層,feature,傳輸層,feature,0.8015,different,1.0,感知層和傳輸層是系統或工具中不同的功能特性
操作安全,feature,安全模式,feature,0.8059,different,0.8,操作安全和安全模式雖相關但指稱不同概念
網站安全開發,function,安全開發,function,0.9393,same,0.8,節點 A 和節點 B 的名稱語意相近，均指涉安全開發的概念
協定,feature,udp 協定,feature,0.8065,different,0.8,節點 A 為一般協定，節點 B 為特定協定 UDP
風險分析與評鑑,function,風險分析,function,0.9406,different,0.8,節點 A 包含評鑑，節點 B 僅為分析
身分驗證,function,身分認證,function,0.9703,same,0.9,身分驗證和身分認證是同義詞
資安設備管理,function,設備管理,function,0.9072,same,0.8,兩節點名稱語意相近，且都涉及管理功能
網路存取控管,function,存取控管,function,0.9026,same,0.8,節點 A 和節點 B 的名稱語意相近，均指涉存取控管的概念
資安事件管理,function,資安警訊管理,function,0.9012,different,0.8,資安事件管理和資安警訊管理雖相關但指稱不同概念
演算法,function,雜湊演算法,function,0.9141,different,0.8,雜湊演算法是演算法的一種特定類型
專案管理,function,專案計畫管理,function,0.9823,different,0.8,節點名稱雖相關但指稱不同概念
非對稱加密,function,非對稱式加密,function,0.9809,same,0.9,節點 A 和節點 B 的名稱語意等價，都是指非對稱加密的概念
資安事件管理,function,事件管理,function,0.8971,different,0.8,節點 A 和節點 B 雖然相關，但節點 A 特指資安事件管理，節點 B 則為更廣泛的事件管理
身分驗證,function,身份鑑別,function,0.8899,same,0.9,身分驗證和身份鑑別是同義詞
權限管理,function,管理,function,0.8971,different,0.8,節點 A 和節點 B 雖相關但指稱不同概念，權限管理是一種特定的管理功能
身份鑑別,function,身分認證,function,0.8922,same,0.9,身份鑑別和身分認證是同義詞
帳號管理,function,管理,function,0.8794,different,0.8,節點 A 和節點 B 雖相關但指稱不同概念，帳號管理是一種特定的管理功能
資料保密,function,資料加密,function,0.8845,different,0.8,資料保密和資料加密是相關但不同的概念，前者是保密資料的目標，後者是達到保密的一種方法
管理,function,設備管理,function,0.8782,different,0.8,節點 A 和節點 B 雖相關但指稱不同概念，管理涵蓋更廣泛的範圍，而設備管理則是管理的一個特定子領域
資安稽核,function,稽核與安全監視,function,0.8994,different,0.8,兩節點雖相關但指稱不同概念，資安稽核著重於安全性檢查，稽核與安全監視涵蓋更廣泛的監控範圍
訊息加密,function,訊息解密,function,0.8765,different,0.9,訊息加密和訊息解密是兩個相關但不同的概念
管制人員出入,function,進出通道管制,function,0.8758,same,0.8,兩節點名稱語意相近，均涉及管制出入的概念
資安稽核,function,安全稽核,function,0.9218,same,0.9,資安稽核和安全稽核是同義詞
資安事件管理,function,資安事件監看,function,0.8764,different,0.8,資安事件管理和資安事件監看雖相關但指稱不同概念
安全事件管理,function,資安事件管理,function,0.8741,same,0.9,安全事件管理和資安事件管理是同義詞
安全稽核,function,稽核與安全監視,function,0.9099,same,0.8,安全稽核和稽核與安全監視的名稱語意相近，均涉及安全檢查和監視
金鑰管理,function,憑證管理,function,0.872,different,0.8,金鑰管理和憑證管理是相關但不同的安全管理概念
系統存取控制管理,function,存取控管,function,0.8718,same,0.8,節點 A 和節點 B 的名稱語意相近，均指涉存取控制的概念
權限管理,function,帳號管理,function,0.8699,different,0.8,兩節點名稱雖相關但指稱不同概念
開發與測試,function,應用軟體開發與測試,function,0.8667,same,0.8,節點名稱語意相近，均涉及開發與測試
權限管理,function,權限控管,function,0.8661,same,0.9,兩節點名稱語意等價，權限管理和權限控管是同義詞
計帳 (accounting),function,accounting,function,0.8727,same,1.0,兩節點名稱語意等價
集中權限控管,function,權限控管,function,0.8867,same,0.8,節點 A 和節點 B 的名稱語意相近，均指涉權限控管的概念
管理,function,日誌管理,function,0.856,different,0.8,節點 A 和節點 B 雖相關但指稱不同概念
解密,function,訊息解密,function,0.8546,same,0.9,節點 A 和節點 B 的名稱語意相近，解密和訊息解密都指涉加密訊息的解碼過程
